EffectKey;EffectCode;NObs
0;7;76167
1000;1;79867
10000;24;56167
10535;62;81
10583;76;150
10723;33;5492
11874;48;6707
12041;67;977
12124;47;4154
12569;44;15916
12688;32;26398
12845;85;49
13000;51;11107
13228;49;2346
13638;29;288
14422;8;12281
14933;17;6507
16970;28;22980
1732;50;176
17406;83;113
17464;45;9031
17635;36;12042
17663;42;34
18248;13;1212
18493;23;14
18654;31;18815
18708;71;147
18761;43;38
19209;91;29
19364;18;33169
2000;2;4299
20542;20;18476
21307;56;7087
21330;6;4354
22135;25;660
22271;55;4307
22338;34;9715
23065;27;36705
23151;53;227
23706;68;38
23727;38;293
23832;11;2649
24154;72;1242
24637;37;18091
24718;35;6283
24879;78;337
24939;69;693
25019;16;40768
25553;19;5450
25592;87;73
25922;59;173
26038;30;17359
26608;5;32628
27073;41;5907
27386;89;35
27928;54;42
28106;66;728
28124;58;3709
28160;79;44
28301;46;250
28861;64;64
29359;15;46738
29529;4;130537
29631;12;109064
29681;21;63606
30298;3;18075
30528;52;90
30577;22;326
30675;39;185
30692;40;968
30822;10;33367
30903;73;79
31112;14;22848
31128;61;2155
31192;84;130
31224;80;113
31400;57;59
31606;63;678
3316;9;4613
348;77;460
35300;70;36
422;65;234
4358;26;6851
454;88;49
499;86;122
607;90;39
622;75;720
626;81;192
678;74;249
7745;82;55
84616;60;8695
