EffectKey;EffectCode;NObs
2001/autumn;59;15
2001/spring;25;10
2001/summer;61;5
2001/winter;31;13
2002/autumn;13;3619
2002/spring;4;4853
2002/summer;7;4531
2002/winter;3;2492
2003/autumn;39;6430
2003/spring;8;10092
2003/summer;2;8201
2003/winter;23;7921
2004/autumn;18;7982
2004/spring;5;12580
2004/summer;6;9850
2004/winter;27;10846
2005/autumn;55;4412
2005/spring;24;14103
2005/summer;29;7599
2005/winter;12;10129
2006/autumn;33;7739
2006/spring;50;13044
2006/summer;32;8512
2006/winter;47;9061
2007/autumn;28;8275
2007/spring;34;13766
2007/summer;14;11053
2007/winter;46;10944
2008/autumn;51;2519
2008/spring;22;14556
2008/summer;35;7040
2008/winter;21;13416
2009/autumn;69;9796
2009/spring;60;16501
2009/summer;71;13254
2009/winter;45;13652
2010/autumn;72;9771
2010/spring;70;16100
2010/summer;66;12341
2010/winter;40;13587
2011/autumn;73;9862
2011/spring;74;16807
2011/summer;68;12415
2011/winter;62;14853
2012/autumn;76;16745
2012/spring;75;25706
2012/summer;65;21332
2012/winter;67;17866
2013/autumn;53;16159
2013/spring;64;26261
2013/summer;9;19523
2013/winter;37;22340
2014/autumn;38;16506
2014/spring;1;24431
2014/summer;52;19143
2014/winter;41;23002
2015/autumn;10;16404
2015/spring;36;24861
2015/summer;44;19460
2015/winter;54;22915
2016/autumn;19;17589
2016/spring;26;27067
2016/summer;30;20696
2016/winter;11;24902
2017/autumn;56;16709
2017/spring;42;26481
2017/summer;43;19843
2017/winter;20;22538
2018/autumn;17;16662
2018/spring;15;24578
2018/summer;16;19721
2018/winter;57;23271
2019/autumn;58;15768
2019/spring;63;24589
2019/summer;48;19317
2019/winter;49;19541
