EffectKey;EffectCode;NObs
0;6;26974
1000;21;34646
10000;20;23356
10093;75;634
10094;81;83
10095;74;217
10535;80;61
10723;30;7149
11874;51;5771
12041;59;1088
12124;50;2837
12569;39;12950
12688;35;31949
12845;79;29
13000;24;15596
13228;31;2082
13638;36;240
13711;37;35
14422;7;19343
14933;10;8335
16970;22;30806
1732;43;104
17406;69;95
17464;26;9347
17635;55;9749
18027;73;35
18248;18;1200
18493;11;25
18654;32;12691
18708;76;48
19364;1;21180
2000;33;1057
20542;27;10325
21307;42;4892
21330;13;5890
22135;16;317
22176;46;1706
22177;41;472
22178;64;1021
22271;52;4707
22338;57;3224
23065;25;14813
23151;56;287
23727;19;169
23832;15;550
24637;28;7610
24718;54;1873
24879;68;597
24939;70;1063
25019;23;16910
25159;49;21
25553;14;3707
26038;9;6275
26608;4;15842
26627;78;70
27073;53;1837
28124;34;3285
28301;45;657
29359;38;29059
29529;12;62429
29631;8;59776
29681;3;13894
30298;2;1787
30675;48;46
30692;17;346
30822;44;8524
31112;40;14585
31128;67;702
31336;58;23
31606;47;407
3316;5;1534
348;62;1024
422;65;958
4358;29;2852
454;77;205
499;60;651
607;71;575
611;61;581
622;63;1338
626;72;639
678;66;650
9;82;22
