EffectKey;EffectCode;NObs
2001/autumn;9;50
2001/spring;10;48
2001/summer;5;24
2001/winter;26;6
2002/autumn;4;1590
2002/spring;7;623
2002/summer;3;731
2002/winter;11;634
2003/autumn;13;3084
2003/spring;2;2773
2003/summer;6;2731
2003/winter;8;2832
2004/autumn;30;4634
2004/spring;18;4312
2004/summer;19;3727
2004/winter;14;4658
2005/autumn;12;3731
2005/spring;15;4460
2005/summer;16;3359
2005/winter;29;4529
2006/autumn;24;5581
2006/spring;20;4951
2006/summer;47;3905
2006/winter;40;4630
2007/autumn;22;6978
2007/spring;21;5478
2007/summer;46;5414
2007/winter;25;6195
2008/autumn;33;1611
2008/spring;42;6081
2008/summer;54;2739
2008/winter;56;6974
2009/autumn;34;7408
2009/spring;23;7141
2009/summer;17;5828
2009/winter;58;6994
2010/autumn;70;7582
2010/spring;60;7317
2010/summer;67;6018
2010/winter;68;7355
2011/autumn;74;8295
2011/spring;72;6932
2011/summer;73;6141
2011/winter;62;7542
2012/autumn;75;9708
2012/spring;69;7404
2012/summer;76;6767
2012/winter;71;8240
2013/autumn;66;11862
2013/spring;50;11016
2013/summer;65;9613
2013/winter;64;11635
2014/autumn;1;12197
2014/spring;48;11792
2014/summer;53;10288
2014/winter;57;12465
2015/autumn;45;13216
2015/spring;39;11818
2015/summer;41;10932
2015/winter;35;13203
2016/autumn;31;14998
2016/spring;44;13759
2016/summer;32;12164
2016/winter;38;14649
2017/autumn;36;14757
2017/spring;55;13982
2017/summer;49;12753
2017/winter;37;13574
2018/autumn;27;15320
2018/spring;63;15115
2018/summer;28;13216
2018/winter;61;15422
2019/autumn;43;15197
2019/spring;51;14272
2019/summer;52;12451
2019/winter;59;13028
