EffectKey;EffectCode;NObs
0;8;57973
1000;2;139991
10000;41;60
10319;46;504
10381;48;95
10723;30;2291
12041;52;121
12124;28;308
12569;32;1873
12688;49;330
13000;47;1059
13228;37;824
13638;29;721
14422;7;3184
14933;24;4113
16970;20;4968
17464;9;1832
17635;18;4514
18248;23;629
18493;1;65
18654;21;3066
19364;10;3861
2000;11;32
20542;19;866
21307;51;622
21330;26;143
22135;12;99
22271;40;691
22338;42;299
23065;27;1384
23151;43;183
23832;13;104
24637;17;2454
24879;50;85
25019;31;2481
25553;6;223
26038;16;433
26123;35;5638
26423;14;38047
26608;5;6404
26723;15;38760
28301;39;335
29529;22;738
29631;3;519
29681;4;240
30692;25;39
30822;44;98
31112;33;102
31128;54;29
31606;38;153
54909;45;1413
54945;34;5952
54981;36;6403
69811;53;55
